title harbour seal																												
Aa4																												
Hg6.1																												
Hg6.3																												
Hg8.9																												
Hg8.10																												
Hgdii																												
Hl2																												
Hl15																												
Hl20																												
Lw7																												
Lw20																												
Lc28																												
M11a																												
OrrFCB2																												
OrrFCB7																												
OrrFCB8																												
Pv2																												
Pv3																												
Pv9																												
Pv10																												
Pv11																												
Pvc30																												
Ssl301																												
Zcwa12																												
Zcwd02																												
Zcwf07																												
ZcCgDh1.8																												
48	,	3030	6060	2030	2020	2050	3030	2030	7070	3030	5060	2030	5050	2020	3060	3060	3030	3040	6469	2020	2020	3060	5050	2030	4040	3030	2040	4040
49	,	3030	6060	2030	3030	2050	3030	2020	7070	3030	3050	3030	5050	2020	3030	3030	5050	3040	6061	2020	2020	6060	2050	2050	4040	2020	2020	2040
50	,	3030	6060	3030	2020	2050	0000	2020	7070	2030	5060	3030	5050	2020	3030	3060	3050	3030	5757	0000	2020	6060	2050	0000	3040	2020	2040	4040
51	,	3030	5060	2030	2030	2050	3030	3030	7070	3030	2020	3030	5050	2020	3030	3030	3030	2030	6364	2020	2020	6060	5050	2050	4040	2020	2020	4040
52	,	3030	5060	3030	2030	5050	3030	2020	7070	3030	6060	3030	5050	2020	3060	3030	2050	0000	6060	2020	2020	2030	2050	2030	4040	2020	2040	4040
53	,	3030	0000	3030	0000	2050	0000	2020	6070	0000	0000	3030	0000	2020	3040	3060	0000	0000	0000	0000	2020	0000	5050	0000	3040	2020	0000	0000
54	,	3030	6060	2030	2020	2050	3030	3030	7070	3030	2050	3030	5050	2020	3030	3060	3050	3030	5568	2020	2020	0000	2030	2050	3040	2020	2020	4040
55	,	3030	6060	3030	2020	5050	3030	2030	7080	2030	2060	3030	5050	2020	6060	3060	5050	3030	6262	2020	2020	6060	2020	2050	4040	2020	2040	4050
56	,	3030	5060	3030	2020	5050	3030	2020	7070	3030	2050	2030	5050	2020	3060	3060	3050	0000	5455	2020	2020	3060	5050	2050	3030	3030	4040	4040
57	,	3030	5060	2030	2030	5050	3030	2030	7070	3030	2050	0000	5050	2020	3030	2030	3050	2030	5560	2020	2020	0000	5050	0000	0000	2020	2020	4040
58	,	3030	6060	3030	2020	2020	3030	2020	7070	3030	2020	3030	5050	2030	6060	2060	3030	3030	5559	3030	2020	2060	5050	2050	4050	2020	2020	4040
59	,	3030	5060	2020	2020	2020	3030	2020	7070	3040	5050	2020	5050	2030	3030	3030	3050	3030	5968	2020	2020	3060	2050	2050	4040	2020	2020	4040
60	,	3030	6060	3030	2020	5050	3030	2020	7070	3030	6060	2030	5050	2020	3060	3030	0000	3030	0000	2020	2020	3060	2020	2030	2040	2020	2020	4040
61	,	3030	5060	3030	2020	2050	3030	2030	7070	3030	2020	3030	0000	2020	3060	3030	0000	3030	5858	2020	2020	3060	5050	0000	4040	2020	2020	0000
62	,	3030	2060	2020	2030	2050	3030	2030	7070	3030	6060	3030	5050	2020	3030	3030	3050	3030	6872	2020	2020	6060	2020	2050	4040	2020	2020	4040
