title grey seals all colonies										
Hg4_2										
Hg6_1										
Hg6_3										
Hg8_9										
Hg8_1										
Pv9										
Pv11										
Pop										
156	,	5157	6062	7375	4959	3741	6466	6666		
157	,	5151	6262	7175	5361	3939	6466	6870		
158	,	0000	5062	7373	5961	3951	6264	6670		
159	,	0000	0000	0000	5959	4151	6464	6668		
160	,	0000	0000	0000	0000	3739	0000	0000		
161	,	0000	6262	6973	0000	3741	6266	6468		
162	,	5151	6264	7375	5759	3945	6472	6868		
163	,	5157	6062	7173	5959	3551	6470	6868		
164	,	3953	6264	7171	5759	3739	6464	0000		
165	,	0000	6264	0000	5963	3339	6264	7070		
166	,	5153	6262	7375	5761	4141	6264	6670		
167	,	5151	6262	6971	5961	3747	6272	6870		
168	,	3951	6266	7579	6767	3541	6264	6666		
169	,	5151	6264	7373	4957	3539	6470	6870		
170	,	5151	6264	7579	5959	3939	6270	6670		
171	,	5157	5662	7577	5359	3939	6470	6868		
172	,	3951	6464	7579	5959	3535	6066	6868		
173	,	5159	6264	7173	6165	3541	7072	6868		
174	,	5157	6464	0000	5167	0000	6270	6870		
175	,	0000	6264	0000	5761	3541	6262	0000		
176	,	5151	0000	0000	5759	0000	6672	0000		
177	,	3951	0000	0000	5967	0000	6262	6468		
178	,	0000	0000	0000	0000	0000	6272	0000		
179	,	5353	5066	0000	6167	3939	6272	6668		
180	,	5151	6062	0000	5161	0000	6264	6870		
181	,	5153	6262	0000	4959	0000	6270	7072		
182	,	5151	6264	0000	5963	0000	6262	6668		
183	,	3953	6464	7575	5961	0000	6262	6066		
184	,	5151	6264	0000	5959	0000	6272	6668		
185	,	5353	6262	0000	5959	0000	6472	6868		
186	,	3951	6262	7175	4959	0000	6464	6666		
187	,	5353	6062	7577	5959	0000	6666	6868		
188	,	5353	6264	0000	4961	0000	6270	6868		
189	,	0000	6264	0000	6767	3739	6266	6870		
190	,	5153	6262	7777	6163	3537	6264	6868		
191	,	5353	6464	7375	5159	3739	6870	6670		
192	,	0000	6264	0000	5565	3741	7272	6870		
193	,	0000	6262	7375	5967	4147	6270	6466		
194	,	5151	5064	7979	5961	3945	6264	6666		
195	,	0000	6264	0000	5967	3341	6272	6070		
196	,	5151	6264	7579	5959	3939	6270	6670		
197	,	5157	6262	7379	5563	3751	6470	6670		
198	,	0000	6262	7375	5159	4747	6470	6868		
199	,	3953	6262	7179	6161	3941	6872	6468		
200	,	5151	6064	6979	4961	3751	6264	6068		
201	,	0000	6262	7579	5767	3941	6266	6672		
202	,	3951	6464	0000	5961	3547	6264	6666		
203	,	5151	6464	7979	4961	3537	7072	6068		
204	,	3951	6264	7577	6161	4143	6464	6070		
205	,	5151	6266	7575	6167	3739	6270	6868		
206	,	5151	6264	7575	4961	3941	6466	6870		
207	,	5151	6262	7375	5761	3941	6470	6870		
208	,	0000	6262	7375	5763	3349	6266	6870		
209	,	3951	6264	7179	6363	3541	6470	6068		
210	,	5151	5662	7579	5357	3945	6672	6668		
211	,	0000	6464	7379	5767	3941	5472	6870		
212	,	5151	6262	7375	5961	0000	7070	6672		
213	,	3951	6264	6971	4961	3741	6266	6868		
214	,	5153	6062	7379	5757	4151	6262	6066		
215	,	5151	6264	7175	5359	3535	6470	6066		
216	,	5153	6264	7579	4961	3941	7072	6666		
217	,	5157	5664	6975	0000	3537	6262	6268		
218	,	3951	6464	7173	5151	3739	6272	6868		
219	,	3951	6264	7173	6767	4149	6464	6668		
220	,	5361	6464	7375	6163	4141	6470	6666		
221	,	5357	6264	7375	5961	3341	6670	6672		
222	,	3951	6264	7979	5961	3941	6466	6868		
223	,	3939	6062	7175	4963	4147	6466	7072		
224	,	5151	6262	7175	5761	3941	6666	6070		
225	,	3951	6264	7979	6163	3941	6466	6868		
226	,	5151	0000	0000	0000	0000	6670	0000		
227	,	3953	6262	7173	0000	3335	6672	6670		
228	,	5151	6264	7375	6167	3547	6272	6468		
229	,	5151	6262	7379	0000	0000	6264	6868		
230	,	3951	6266	7579	4953	3939	6670	6666		
231	,	5157	6064	7579	4959	3539	6270	6068		
232	,	5157	6060	7779	6163	3541	6266	6668		
233	,	5151	6262	6975	5161	4343	6470	6666		
234	,	5157	6262	7379	5961	3741	0000	6668		
235	,	5151	6264	7979	4955	3941	6264	6868		
236	,	5959	6464	7379	5961	3945	6470	6872		
237	,	5153	6262	7579	5163	3541	6264	6672		
238	,	5151	5056	7373	5757	3939	6270	6872		
239	,	5153	6464	7373	5967	3539	6466	6868		
240	,	5161	6264	7375	6163	3739	6270	6870		
241	,	5153	6064	7379	5963	3939	6266	6670		
242	,	5357	6064	7779	5759	3541	6672	6668		
243	,	5157	6264	7177	5967	3943	6264	6668		
244	,	5153	6264	7579	5961	3739	6264	6868		
245	,	5151	6264	7177	6161	3941	6470	6670		
246	,	3957	6264	7377	5961	3939	6264	6668		
247	,	3959	6264	7379	6163	3339	6264	6868		
248	,	5353	6262	7375	6161	3945	6672	6872		
249	,	3951	6064	7375	5759	3941	6270	6668		
250	,	5151	6264	7579	4959	3739	6470	6670		
251	,	3957	6262	7373	0000	3939	6264	6868		
252	,	5157	6264	7379	5959	3941	6472	6868		
253	,	5153	6262	7375	5967	3743	6672	6064		
254	,	0000	6064	7375	5159	0000	6272	6668		
255	,	3951	6464	7577	5967	3739	6472	6466		
256	,	5151	6062	7177	6167	3739	6472	6666		
257	,	5151	6264	6973	6161	3739	6262	6874		
258	,	5151	6262	7577	5767	3945	6466	6468		
259	,	5153	5064	7173	4959	3939	7072	6264		
260	,	3951	6062	6973	6767	3741	6064	6668		
261	,	5151	6464	7175	5761	4147	6464	6670		
262	,	5159	6264	7579	5163	3539	6466	6670		
263	,	5357	6262	7779	4959	4141	6466	6868		
264	,	5153	6264	7171	4961	3539	6272	6270		
265	,	5357	6264	7579	5967	3741	6264	6068		
266	,	5151	6264	7979	5961	3737	6264	6668		
267	,	5151	0000	7379	5959	3547	7272	6266		
268	,	3951	6464	7375	5761	4141	6670	7072		
269	,	5151	6464	7575	5965	4141	6670	6874		
270	,	5153	6464	7175	6363	3537	6264	6268		
271	,	5153	6262	7373	5761	3939	6270	6670		
272	,	5357	6262	6979	5961	3939	6266	6268		
273	,	3951	6262	7779	6767	3939	6264	6666		
274	,	5157	6262	7377	5963	3945	6266	6666		
275	,	5165	6264	0000	6161	3739	6266	6470		
276	,	5361	6464	7175	5161	3739	6262	6868		
277	,	5153	6262	7175	5961	3943	6272	6670		
278	,	3951	6466	7579	5767	3539	6266	6870		
279	,	3957	6262	7579	5163	3941	6466	6470		
280	,	5153	6264	7577	5967	3947	6466	6666		
281	,	5151	6062	7379	5963	3941	6270	6668		
282	,	5151	6262	7577	6767	3939	6666	6668		
283	,	5153	6262	7177	5167	3541	6470	6668		
284	,	5153	6264	7577	6161	4141	6264	6670		
285	,	3951	6262	7577	5559	3741	7070	6666		
286	,	5159	6264	7375	5959	4147	6672	6870		
287	,	5357	6464	7375	5959	3939	6270	6666		
288	,	5153	6264	7577	5961	3939	6270	6668		
289	,	5757	6062	7379	5963	3535	6266	6672		
290	,	5151	6262	7577	6363	4147	6466	6666		
