.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
new_zealand_sea_lion_HW,   8.48,0  vs 15, 0.00019,  0.00002, 1.00000, 0.00002, 0.00003,   8.84,3  vs 12, 0.07760,  0.01271, 0.99962, 0.00050, 0.00101,   8.81,10  vs 5, 0.04228,  0.01241, 0.06769, 0.93973, 0.13538,normal L-shaped distribution,   8.90,3  vs 12, 0.08245,  0.05010, 0.98923, 0.01279, 0.02557,   8.87,7  vs 8, 0.41774,  0.25263, 0.82043, 0.19470, 0.38940
northern_fur_seal_HW,   4.84,1  vs 7, 0.11112,  0.01197, 0.96289, 0.09766, 0.19531,   4.74,2  vs 6, 0.29960,  0.20744, 0.80859, 0.23047, 0.46094,   4.68,7  vs 1, 0.01089,  0.00000, 0.00586, 0.99609, 0.01172,normal L-shaped distribution,   4.71,2  vs 6, 0.29197,  0.04455, 0.67969, 0.37109, 0.74219,   4.67,4  vs 4, 0.44357,  0.00036, 0.52734, 0.52734, 1.00000
northern_fur_seal_cl_1_HW,   4.84,1  vs 7, 0.11178,  0.01727, 0.96289, 0.09766, 0.19531,   4.73,1  vs 7, 0.09790,  0.30804, 0.96289, 0.09766, 0.19531,   4.69,8  vs 0, 0.00086,  0.00000, 0.00195, 1.00000, 0.00391,normal L-shaped distribution,   4.70,3  vs 5, 0.56513,  0.10834, 0.80859, 0.23047, 0.46094,   4.67,4  vs 4, 0.44260,  0.00439, 0.57813, 0.47266, 0.94531
ross_seal_HW,   4.77,2  vs 6, 0.30629,  0.09748, 0.87500, 0.15625, 0.31250,   4.86,6  vs 2, 0.04446,  0.07624, 0.15625, 0.87500, 0.31250,   4.80,7  vs 1, 0.00836,  0.00000, 0.00391, 0.99805, 0.00781,normal L-shaped distribution,   4.72,6  vs 2, 0.05631,  0.02689, 0.15625, 0.87500, 0.31250,   4.70,6  vs 2, 0.05817,  0.00136, 0.02734, 0.98047, 0.05469
saimaa_ringed_seal_HW,   6.46,6  vs 9, 0.14089,  0.05133, 0.96814, 0.03650, 0.07300,   7.07,6  vs 9, 0.22687,  0.47165, 0.64014, 0.38077, 0.76154,   7.52,8  vs 7, 0.49535,  0.00445, 0.29974, 0.71930, 0.59949,normal L-shaped distribution,   7.25,7  vs 8, 0.44703,  0.36657, 0.53296, 0.48898, 0.97797,   7.37,8  vs 7, 0.52758,  0.14929, 0.44519, 0.57654, 0.89038
saimaa_ringed_seal_cl_1_HW,   6.98,7  vs 9, 0.21859,  0.10733, 0.85107, 0.16125, 0.32251,   7.67,7  vs 9, 0.33559,  0.24924, 0.55003, 0.46994, 0.93988,   8.15,8  vs 8, 0.56952,  0.00003, 0.35286, 0.66573, 0.70572,normal L-shaped distribution,   7.84,8  vs 8, 0.56760,  0.11666, 0.48997, 0.53006, 0.97995,   7.97,8  vs 8, 0.59360,  0.02615, 0.46994, 0.55003, 0.93988
ses_HW,   7.65,1  vs 12, 0.01025,  0.00000, 0.99994, 0.00012, 0.00024,   7.69,1  vs 12, 0.01076,  0.00233, 0.99573, 0.01074, 0.02148,   7.64,8  vs 5, 0.11472,  0.03174, 0.24866, 0.77258, 0.49731,normal L-shaped distribution,   7.68,1  vs 12, 0.01069,  0.01050, 0.99573, 0.01074, 0.02148,   7.66,2  vs 11, 0.04931,  0.08460, 0.98926, 0.01331, 0.02661
ses_cl_4_HW,   7.69,1  vs 12, 0.01076,  0.00006, 0.99994, 0.00012, 0.00024,   7.70,2  vs 11, 0.05160,  0.01464, 0.98926, 0.01331, 0.02661,   7.65,7  vs 6, 0.25554,  0.04736, 0.31775, 0.70605, 0.63550,normal L-shaped distribution,   7.71,2  vs 11, 0.05258,  0.04502, 0.98010, 0.02393, 0.04785,   7.67,4  vs 9, 0.32535,  0.18706, 0.94507, 0.06360, 0.12720
south_american_fur_seal_HW,   3.00,0  vs 5, 0.07712,  0.00974, 1.00000, 0.01563, 0.03125,   2.96,1  vs 4, 0.32483,  0.13578, 0.98438, 0.03125, 0.06250,   2.92,4  vs 1, 0.10003,  0.00706, 0.03125, 0.98438, 0.06250,normal L-shaped distribution,   2.95,1  vs 4, 0.32096,  0.22831, 0.95313, 0.07813, 0.15625,   2.94,2  vs 3, 0.66318,  0.48994, 0.59375, 0.50000, 1.00000
south_american_fur_seal_cl_1_HW,   4.13,0  vs 7, 0.02480,  0.00177, 1.00000, 0.00391, 0.00781,   4.15,0  vs 7, 0.02568,  0.03685, 1.00000, 0.00391, 0.00781,   4.14,5  vs 2, 0.10543,  0.16242, 0.05469, 0.96094, 0.10938,normal L-shaped distribution,   4.15,0  vs 7, 0.02593,  0.07435, 1.00000, 0.00391, 0.00781,   4.14,3  vs 4, 0.59838,  0.19922, 0.96094, 0.05469, 0.10938
south_american_sea_lion_HW,  12.59,1  vs 21, 0.00008,  0.00001, 0.99998, 0.00002, 0.00004,  12.90,5  vs 17, 0.05613,  0.10656, 0.99857, 0.00162, 0.00324,  12.99,18  vs 4, 0.00011,  0.00000, 0.00018, 0.99985, 0.00036,normal L-shaped distribution,  12.93,7  vs 15, 0.25095,  0.36625, 0.95413, 0.04921, 0.09841,  12.94,12  vs 10, 0.14554,  0.11788, 0.29396, 0.71697, 0.58793
stellers_sea_lion_HW,   7.40,1  vs 12, 0.00702,  0.00043, 0.99915, 0.00116, 0.00232,   7.66,4  vs 9, 0.32306,  0.14652, 0.95288, 0.05493, 0.10986,   7.68,9  vs 4, 0.03768,  0.00000, 0.01636, 0.98669, 0.03271,normal L-shaped distribution,   7.68,5  vs 8, 0.54723,  0.38771, 0.84729, 0.16980, 0.33960,   7.67,6  vs 7, 0.45510,  0.15821, 0.52698, 0.50000, 1.00000
stellers_sea_lion_cl_1_HW,   6.77,1  vs 11, 0.01050,  0.00057, 0.99939, 0.00085, 0.00171,   7.02,3  vs 9, 0.19410,  0.10369, 0.95386, 0.05493, 0.10986,   7.08,8  vs 4, 0.06641,  0.00007, 0.03198, 0.97388, 0.06396,normal L-shaped distribution,   7.04,5  vs 7, 0.59829,  0.25182, 0.86694, 0.15063, 0.30127,   7.06,5  vs 7, 0.59447,  0.31358, 0.57495, 0.45483, 0.90967
subantarctic_fur_seal_HW,  21.66,5  vs 32, 0.00023,  0.00000, 1.00000, 0.00000, 0.00000,  21.63,14  vs 23, 0.38874,  0.20848, 0.83831, 0.16541, 0.33083,  21.67,30  vs 7, 0.00000,  0.00000, 0.00000, 1.00000, 0.00000,normal L-shaped distribution,  21.64,16  vs 21, 0.47745,  0.43755, 0.48217, 0.52377, 0.96434,  21.58,21  vs 16, 0.04601,  0.02907, 0.08120, 0.92107, 0.16241
subantarctic_fur_seal_cl_2_HW,  21.71,6  vs 31, 0.00098,  0.00006, 0.99998, 0.00003, 0.00005,  21.77,13  vs 24, 0.28385,  0.47379, 0.81114, 0.19296, 0.38591,  21.68,31  vs 6, 0.00000,  0.00000, 0.00000, 1.00000, 0.00000,normal L-shaped distribution,  21.65,16  vs 21, 0.47612,  0.19369, 0.48217, 0.52377, 0.96434,  21.56,23  vs 14, 0.00965,  0.00612, 0.03496, 0.96622, 0.06992
weddell_seal_HW,   7.19,2  vs 10, 0.08221,  0.02780, 0.96802, 0.03857, 0.07715,   7.09,7  vs 5, 0.17565,  0.00022, 0.19019, 0.83032, 0.38037,   7.03,11  vs 1, 0.00046,  0.00000, 0.00024, 0.99988, 0.00049,normal L-shaped distribution,   7.05,7  vs 5, 0.18056,  0.00000, 0.11670, 0.89819, 0.23340,   7.03,8  vs 4, 0.07049,  0.00000, 0.02612, 0.97876, 0.05225
weddell_seal_cl_2_HW,   8.94,2  vs 13, 0.02529,  0.02889, 0.99487, 0.00623, 0.01245,   8.85,9  vs 6, 0.10976,  0.00005, 0.24435, 0.77286, 0.48871,   8.82,14  vs 1, 0.00004,  0.00000, 0.00003, 0.99998, 0.00006,normal L-shaped distribution,   8.83,10  vs 5, 0.04122,  0.00000, 0.06769, 0.93973, 0.13538,   8.78,10  vs 5, 0.04385,  0.00000, 0.00903, 0.99246, 0.01807
