.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
galapagos_fur_seal,   7.00,2  vs 10, 0.06714,  0.00521, 0.99829, 0.00232, 0.00464,   7.08,6  vs 6, 0.36156,  0.18695, 0.80981, 0.21191, 0.42383,   7.08,7  vs 5, 0.17654,  0.00231, 0.07568, 0.93530, 0.15137,normal L-shaped distribution,   7.09,6  vs 6, 0.36044,  0.35530, 0.66138, 0.36670, 0.73340,   7.09,6  vs 6, 0.35838,  0.31201, 0.42505, 0.60449, 0.85010
galapagos_sea_lion,  12.53,4  vs 18, 0.01308,  0.00053, 0.99998, 0.00002, 0.00004,  12.89,10  vs 12, 0.42899,  0.24881, 0.47463, 0.53802, 0.94927,  12.97,20  vs 2, 0.00000,  0.00000, 0.00000, 1.00000, 0.00000,normal L-shaped distribution,  12.88,12  vs 10, 0.15138,  0.02754, 0.15265, 0.85489, 0.30531,  12.92,16  vs 6, 0.00283,  0.00002, 0.00464, 0.99584, 0.00927
grey_seal_orkneys,   5.22,0  vs 9, 0.00742,  0.00005, 1.00000, 0.00098, 0.00195,   5.30,1  vs 8, 0.06206,  0.00814, 0.99805, 0.00293, 0.00586,   5.30,5  vs 4, 0.29114,  0.02199, 0.10156, 0.91797, 0.20313,normal L-shaped distribution,   5.31,1  vs 8, 0.06243,  0.02727, 0.99316, 0.00977, 0.01953,   5.30,2  vs 7, 0.21198,  0.13975, 0.91797, 0.10156, 0.20313
guadalupe_fur_seal,   8.64,0  vs 15, 0.00025,  0.00000, 1.00000, 0.00002, 0.00003,   8.83,0  vs 15, 0.00035,  0.00003, 1.00000, 0.00002, 0.00003,   8.88,6  vs 9, 0.58521,  0.20786, 0.87381, 0.13843, 0.27686,normal L-shaped distribution,   8.83,1  vs 14, 0.00408,  0.00015, 0.99998, 0.00003, 0.00006,   8.83,1  vs 14, 0.00407,  0.00224, 0.99985, 0.00021, 0.00043
harbour_seal_waddensee_cl_1,   8.04,3  vs 12, 0.03276,  0.04336, 0.98492, 0.01767, 0.03534,   8.58,9  vs 6, 0.13759,  0.31537, 0.29974, 0.71930, 0.59949,   8.71,14  vs 1, 0.00005,  0.00000, 0.00066, 0.99950, 0.00131,normal L-shaped distribution,   8.64,10  vs 5, 0.05034,  0.11653, 0.09381, 0.91559, 0.18762,   8.67,12  vs 3, 0.00321,  0.00974, 0.02063, 0.98233, 0.04126
harbour_seal_waddensee,   8.15,4  vs 11, 0.10907,  0.05608, 0.97232, 0.03186, 0.06372,   8.69,7  vs 8, 0.45602,  0.21149, 0.29974, 0.71930, 0.59949,   8.87,14  vs 1, 0.00003,  0.00000, 0.00005, 0.99997, 0.00009,normal L-shaped distribution,   8.78,11  vs 4, 0.01267,  0.05907, 0.02396, 0.97937, 0.04791,   8.83,13  vs 2, 0.00039,  0.00206, 0.00418, 0.99832, 0.00836
hawaiian_monk_seal,   7.97,1  vs 17, 0.00001,  0.00000, 0.99999, 0.00002, 0.00004,   9.05,3  vs 15, 0.00346,  0.00173, 0.99800, 0.00237, 0.00475,   9.72,10  vs 8, 0.27703,  0.13765, 0.50000, 0.51694, 1.00000,normal L-shaped distribution,   9.30,5  vs 13, 0.06026,  0.01063, 0.99306, 0.00797, 0.01593,   9.55,5  vs 13, 0.07605,  0.09511, 0.95063, 0.05419, 0.10838
hooded_seal,   7.81,2  vs 11, 0.05868,  0.02564, 0.97131, 0.03406, 0.06812,   7.72,8  vs 5, 0.10625,  0.02691, 0.20715, 0.81213, 0.41431,   7.60,12  vs 1, 0.00021,  0.00000, 0.00018, 0.99988, 0.00037,normal L-shaped distribution,   7.67,9  vs 4, 0.03798,  0.00104, 0.07324, 0.93640, 0.14648,   7.62,9  vs 4, 0.04034,  0.00000, 0.01636, 0.98669, 0.03271
lagoda_ringed_seal_cl_1,  10.11,5  vs 12, 0.24917,  0.23742, 0.90495, 0.10345, 0.20689,  10.24,9  vs 8, 0.19344,  0.10183, 0.30561, 0.71047, 0.61122,   9.99,12  vs 5, 0.01388,  0.00002, 0.01008, 0.99129, 0.02016,normal L-shaped distribution,  10.17,11  vs 6, 0.03598,  0.03775, 0.13166, 0.87825, 0.26332,  10.21,12  vs 5, 0.01042,  0.00765, 0.10345, 0.90495, 0.20689
lagoda_ringed_seal,  10.18,6  vs 11, 0.44458,  0.24266, 0.94556, 0.06010, 0.12021,  10.24,9  vs 8, 0.19336,  0.05072, 0.16447, 0.84698, 0.32895,  10.13,14  vs 3, 0.00051,  0.00000, 0.00192, 0.99842, 0.00385,normal L-shaped distribution,  10.16,9  vs 8, 0.20469,  0.01768, 0.09505, 0.91287, 0.19009,  10.14,11  vs 6, 0.03725,  0.00148, 0.03191, 0.97156, 0.06383
leopard_seal,   8.37,3  vs 11, 0.12076,  0.02035, 0.98987, 0.01227, 0.02454,   8.28,9  vs 5, 0.06642,  0.09428, 0.16290, 0.85211, 0.32581,   8.19,12  vs 2, 0.00091,  0.00000, 0.00021, 0.99985, 0.00043,normal L-shaped distribution,   8.26,9  vs 5, 0.06794,  0.01479, 0.08630, 0.92346, 0.17261,   8.22,10  vs 4, 0.02239,  0.00005, 0.01227, 0.98987, 0.02454
mediterranean_monk_seal,   7.53,6  vs 10, 0.15982,  0.00727, 0.98323, 0.01932, 0.03864,   8.22,7  vs 9, 0.44553,  0.12976, 0.82581, 0.18773, 0.37546,   8.63,7  vs 9, 0.52893,  0.17061, 0.44997, 0.56987, 0.89993,normal L-shaped distribution,   8.37,7  vs 9, 0.47516,  0.23554, 0.73592, 0.28094, 0.56189,   8.50,7  vs 9, 0.50307,  0.43895, 0.62822, 0.39098, 0.78195
nes_cl_2,  14.71,3  vs 32, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  16.34,4  vs 31, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  17.49,6  vs 29, 0.00005,  0.00005, 0.99999, 0.00001, 0.00002,normal L-shaped distribution,  16.70,4  vs 31, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  17.14,5  vs 30, 0.00001,  0.00000, 1.00000, 0.00000, 0.00000
nes,  14.77,3  vs 32, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  16.54,5  vs 30, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  17.84,6  vs 29, 0.00007,  0.00050, 0.99992, 0.00008, 0.00016,normal L-shaped distribution,  16.94,5  vs 30, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  17.40,5  vs 30, 0.00001,  0.00001, 1.00000, 0.00000, 0.00000
new_zealand_fur_seal,   7.14,3  vs 9, 0.21478,  0.00465, 0.99878, 0.00171, 0.00342,   7.08,4  vs 8, 0.41098,  0.29248, 0.78809, 0.23486, 0.46973,   7.06,7  vs 5, 0.17899,  0.00011, 0.06470, 0.94507, 0.12939,normal L-shaped distribution,   7.10,4  vs 8, 0.41409,  0.49722, 0.71533, 0.31104, 0.62207,   7.06,5  vs 7, 0.59361,  0.19511, 0.48486, 0.54517, 0.96973
new_zealand_sea_lion,   9.63,0  vs 17, 0.00006,  0.00002, 1.00000, 0.00000, 0.00001,  10.01,5  vs 12, 0.23349,  0.02493, 0.99605, 0.00467, 0.00934,  10.01,11  vs 6, 0.04311,  0.00076, 0.02238, 0.98023, 0.04477,normal L-shaped distribution,  10.07,5  vs 12, 0.24313,  0.09341, 0.96429, 0.03984, 0.07968,  10.03,9  vs 8, 0.22376,  0.41866, 0.57318, 0.44498, 0.88997
northern_fur_seal_cl_1,   4.83,1  vs 7, 0.10986,  0.01660, 0.96289, 0.09766, 0.19531,   4.72,1  vs 7, 0.09644,  0.30818, 0.96289, 0.09766, 0.19531,   4.68,8  vs 0, 0.00089,  0.00000, 0.00195, 1.00000, 0.00391,normal L-shaped distribution,   4.71,3  vs 5, 0.56668,  0.10268, 0.76953, 0.27344, 0.54688,   4.67,4  vs 4, 0.44459,  0.00385, 0.57813, 0.47266, 0.94531
northern_fur_seal,   4.86,1  vs 7, 0.11503,  0.01184, 0.96289, 0.09766, 0.19531,   4.72,2  vs 6, 0.29365,  0.22039, 0.80859, 0.23047, 0.46094,   4.66,7  vs 1, 0.01115,  0.00000, 0.00586, 0.99609, 0.01172,normal L-shaped distribution,   4.72,2  vs 6, 0.29496,  0.04232, 0.67969, 0.37109, 0.74219,   4.67,4  vs 4, 0.44339,  0.00041, 0.52734, 0.52734, 1.00000
ross_seal,   5.37,2  vs 7, 0.22459,  0.05842, 0.93555, 0.08203, 0.16406,   5.32,6  vs 3, 0.10938,  0.13658, 0.28516, 0.75195, 0.57031,   5.39,8  vs 1, 0.00378,  0.00000, 0.00195, 0.99902, 0.00391,normal L-shaped distribution,   5.30,6  vs 3, 0.11213,  0.04870, 0.21289, 0.82031, 0.42578,   5.35,7  vs 2, 0.02703,  0.00167, 0.01367, 0.99023, 0.02734
