id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
BOG_074 Bogoslof_Island 380/384 168/170 95/99 142/162 187/193 234/234 160/176 380/384
BOG_075 Bogoslof_Island 380/382 174/178 87/105 140/160 NA NA 160/160 380/382
BOG_076 Bogoslof_Island 390/394 170/180 93/103 160/160 193/193 232/234 160/160 390/394
BOG_077 Bogoslof_Island 380/394 162/174 99/99 140/160 185/195 234/240 160/178 380/394
BOG_078 Bogoslof_Island 389/394 178/182 91/117 158/162 197/197 232/234 160/160 389/394
BOG_079 Bogoslof_Island 391/394 168/172 93/99 156/160 185/189 232/236 160/160 391/394
BOG_080 Bogoslof_Island 380/380 166/172 87/91 140/158 185/199 234/236 160/178 380/380
BOG_081 Bogoslof_Island 380/394 170/172 87/103 134/156 185/185 234/236 160/160 380/394
BOG_082 Bogoslof_Island 378/380 172/182 101/113 162/164 187/201 232/236 160/160 378/380
BOG_083 Bogoslof_Island 380/394 172/182 107/109 148/164 189/191 NA 156/160 380/394
BOG_084 Bogoslof_Island 380/395 178/180 103/115 164/164 185/199 232/238 160/176 380/395
BOG_085 Bogoslof_Island 382/392 178/184 91/99 160/162 195/199 232/234 160/160 382/392
BOG_086 Bogoslof_Island 391/394 172/178 87/99 156/158 185/193 232/234 160/160 391/394
BOG_087 Bogoslof_Island 380/394 166/172 103/113 140/162 189/199 228/238 160/160 380/394
BOG_088 Bogoslof_Island 386/392 162/182 101/119 160/164 193/199 234/236 160/160 386/392
BOG_089 Bogoslof_Island 384/394 162/168 103/105 142/160 197/201 234/236 160/160 384/394
BOG_090 Bogoslof_Island 380/382 160/162 99/107 140/162 179/193 238/246 160/184 380/382
BOG_091 Bogoslof_Island 380/395 166/170 91/91 160/160 185/199 234/238 160/160 380/395
BOG_092 Bogoslof_Island 382/382 166/170 91/105 152/160 189/197 236/242 160/160 382/382
BOG_093 Bogoslof_Island 380/394 162/166 85/113 134/158 197/199 228/232 160/160 380/394
BOG_094 Bogoslof_Island 380/380 160/170 91/97 156/164 193/195 230/232 160/160 380/380
BOG_095 Bogoslof_Island 380/392 162/168 91/113 158/162 197/199 230/242 NA 380/392
BOG_096 Bogoslof_Island 380/380 172/178 87/99 142/164 185/189 242/242 160/160 380/380
BOG_097 Bogoslof_Island 380/394 172/180 91/99 160/168 185/193 232/234 160/160 380/394
BOG_098 Bogoslof_Island 382/398 168/182 87/99 142/152 187/197 NA 160/160 382/398
BOG_099 Bogoslof_Island 380/382 170/174 87/107 156/158 191/193 230/238 160/160 380/382
LOV_001 Lovushki_Island 380/386 166/172 91/99 156/160 187/197 238/240 182/182 380/386
LOV_002 Lovushki_Island 380/382 168/174 91/103 158/162 NA 234/234 160/184 380/382
LOV_003 Lovushki_Island 386/392 172/186 115/125 134/166 185/187 234/240 160/160 386/392
LOV_004 Lovushki_Island 382/395 172/184 91/99 134/158 185/197 228/236 160/160 382/395
