id pop L_Hg14 L_Hg23 L_Hg36 L_Hg42 L_Hg610 L_Hg89 L_Hg810 L_Hgdii L_Hgl15 L_Pvc19 L_Pvc26 L_Pvc30 L_Pvc78 L_SGPv9 L_SGPv10 L_SGPv11 L_SGPv16
2099_M_H_y1998 Lake_Saimaa 124/124 100/104 134/161 152/152 194/200 186/186 200/200 137/155 108/118 109/109 171/181 149/149 161/161 145/145 156/169 119/123 124/124
2100_M_H_y1998 Lake_Saimaa 124/124 104/104 134/134 152/152 202/202 186/188 200/220 137/137 118/118 109/109 171/181 139/149 161/161 133/133 156/157 123/123 124/124
2126_F_H_y1998 Lake_Saimaa 124/124 104/104 134/161 152/152 200/200 186/186 200/200 137/167 112/118 109/109 171/171 149/149 161/161 133/145 157/169 123/123 124/124
2150_F_H_y1998 Lake_Saimaa 124/124 104/104 161/161 152/152 200/200 186/186 200/200 137/137 108/112 109/109 179/181 149/149 161/161 133/145 156/157 123/123 124/124
2180_M_H_y1999 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 186/188 200/200 155/157 108/118 109/109 171/171 149/149 161/161 133/145 156/156 119/123 124/124
2194_F_H_y1999 Lake_Saimaa 124/124 100/104 161/161 152/152 202/202 186/186 200/200 153/157 118/118 109/111 171/171 149/149 161/161 145/145 157/169 123/123 124/124
2214_M_H_y2000 Lake_Saimaa 124/124 100/100 161/161 152/152 200/200 186/186 200/200 153/155 108/118 109/111 181/181 139/149 161/171 145/145 156/157 119/123 124/124
2221_M_H_y2000 Lake_Saimaa 124/124 98/104 134/161 152/152 194/200 186/186 200/200 137/137 118/118 109/109 171/171 149/149 161/161 133/145 156/169 123/123 124/124
2232_M_H_y2000 Lake_Saimaa 124/124 100/100 161/161 152/152 202/202 186/188 200/200 137/155 108/118 109/111 171/181 149/149 161/161 133/145 156/169 123/123 124/124
2267_F_H_y2001 Lake_Saimaa 124/124 100/100 161/161 152/152 200/202 186/186 200/200 139/153 118/118 109/111 171/181 149/149 161/161 133/133 157/169 123/123 124/124
2277_F_H_y2001 Lake_Saimaa 124/124 104/104 134/161 152/152 200/202 186/186 200/200 137/165 112/118 109/111 177/181 149/149 161/161 133/145 156/169 123/123 124/124
2317_F_H_y2002 Lake_Saimaa 124/124 98/104 134/134 152/152 200/202 186/186 200/200 129/139 112/118 109/109 171/171 149/149 161/161 133/145 156/157 119/123 124/124
2319_M_H_y2002 Lake_Saimaa 124/124 98/104 134/134 152/152 200/202 186/188 200/200 137/137 112/112 109/109 171/181 149/149 161/161 133/145 156/169 123/123 124/124
2329_F_H_y2002 Lake_Saimaa 124/124 104/104 134/161 152/152 200/202 186/188 200/200 129/153 108/118 109/111 181/181 149/149 161/161 133/145 156/156 123/123 124/124
2333_M_H_y2003 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 188/188 200/200 137/159 118/118 109/109 181/181 149/149 161/161 145/145 157/157 123/123 124/124
2337_M_H_y2003 Lake_Saimaa 114/124 100/100 161/161 152/152 200/202 186/186 200/200 137/167 118/118 109/109 171/181 149/149 161/161 145/145 156/169 123/123 114/124
2340_M_H_y2003 Lake_Saimaa 124/124 98/104 134/161 152/152 194/202 186/186 200/200 137/137 108/118 109/109 171/179 149/149 161/161 145/145 156/169 123/123 124/124
2341_F_H_y2003 Lake_Saimaa 124/124 100/104 134/161 152/152 194/194 186/186 200/200 129/159 112/118 109/109 171/171 149/149 161/171 133/145 169/169 119/123 124/124
2342_M_H_y2003 Lake_Saimaa 124/124 98/104 161/161 152/152 200/200 188/188 200/200 137/159 118/118 109/109 171/171 149/149 161/161 145/145 157/169 123/123 124/124
2348_M_H_y2003 Lake_Saimaa 114/114 100/100 161/161 152/152 200/200 186/186 200/200 137/137 108/118 109/109 171/181 139/149 161/161 133/145 156/157 123/123 114/114
2350_F_H_y2003 Lake_Saimaa 114/124 104/104 134/161 152/152 200/200 186/188 200/200 137/157 112/112 109/109 177/181 149/149 161/161 133/145 156/156 119/123 114/124
2356_M_H_y2004 Lake_Saimaa 124/124 100/104 161/161 152/152 202/202 186/186 200/200 137/153 112/112 109/111 171/171 149/149 161/171 145/145 157/169 123/123 124/124
2363_M_H_y2004 Lake_Saimaa 124/124 104/104 134/161 152/152 202/202 186/186 200/200 137/155 118/118 109/111 171/181 149/149 161/161 133/145 156/157 119/123 124/124
2377_F_H_y2005 Lake_Saimaa 114/124 100/104 134/161 152/152 200/200 186/186 200/200 155/167 108/118 109/109 179/181 149/149 161/161 145/145 156/157 123/123 114/124
2379_F_H_y2005 Lake_Saimaa 114/124 104/104 134/161 152/152 202/202 186/186 200/200 137/139 118/118 109/109 171/181 139/149 161/161 133/145 156/157 123/123 114/124
2380_M_H_y2005 Lake_Saimaa 114/124 98/104 161/161 152/152 200/200 186/188 200/200 159/159 118/118 109/109 171/181 149/149 161/161 145/145 156/157 123/123 114/124
2382_M_H_y2005 Lake_Saimaa 124/124 100/100 161/161 152/152 200/202 186/188 200/200 137/137 112/118 109/109 171/171 149/149 161/171 133/133 156/169 123/123 124/124
2392_F_H_y2005 Lake_Saimaa 124/124 100/100 161/161 152/152 200/202 186/188 200/200 139/165 118/118 109/109 171/181 149/149 161/161 145/145 156/157 123/123 124/124
2393_M_H_y2005 Lake_Saimaa 124/124 104/104 161/161 152/152 202/202 186/188 200/220 137/159 118/118 109/109 171/181 139/139 161/161 133/145 157/157 123/123 124/124
2396_M_H_y2006 Lake_Saimaa 124/124 98/104 134/161 152/152 200/202 186/186 200/200 137/137 118/118 109/109 171/181 139/149 161/161 133/145 156/156 123/123 124/124
2406_M_H_y2006 Lake_Saimaa 124/124 100/104 134/161 152/152 200/200 186/186 200/200 155/159 118/118 109/111 181/181 149/149 161/171 145/145 157/157 119/123 124/124
2422_M_H_y2007 Lake_Saimaa 114/124 100/104 161/161 152/152 200/200 186/186 200/200 137/171 108/118 109/109 171/181 149/149 161/161 145/145 156/157 123/123 114/124
2426_F_H_y2007 Lake_Saimaa 124/124 100/104 161/161 152/152 202/202 186/186 200/200 129/153 118/118 109/111 181/181 149/149 161/161 145/145 169/169 123/123 124/124
2432_M_H_y2007 Lake_Saimaa 124/124 104/104 161/161 152/152 194/194 186/186 200/200 129/159 112/118 109/109 171/171 149/149 161/161 133/145 169/169 123/123 124/124
2440_M_H_y2007 Lake_Saimaa 124/124 98/104 134/134 152/152 200/200 186/186 200/200 137/155 118/118 109/109 171/171 149/149 161/161 133/145 156/157 123/123 124/124
2451_F_H_y2008 Lake_Saimaa 124/124 104/104 134/161 152/152 200/202 186/188 200/200 129/167 118/118 109/109 181/181 149/149 161/161 145/145 156/169 123/123 124/124
2471_M_H_y2008 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 186/186 200/200 137/137 112/118 109/109 171/171 139/149 161/171 145/145 156/157 123/123 124/124
314_M_P_y1981 Lake_Saimaa 124/124 104/104 161/161 152/152 200/202 186/186 200/200 137/137 118/118 109/109 181/181 149/149 161/161 133/145 156/156 123/123 124/124
419_F_P_y1982 Lake_Saimaa 124/124 100/104 134/161 152/152 202/202 186/188 200/200 137/137 108/118 109/109 177/181 149/149 161/161 145/145 156/156 123/123 124/124
425_M_P_y1982 Lake_Saimaa 124/124 98/100 134/161 152/152 200/200 186/186 200/200 137/137 108/118 109/109 171/181 149/149 161/161 133/145 156/157 123/123 124/124
746_F_P_y1984 Lake_Saimaa 114/124 100/104 161/161 152/152 200/200 186/188 200/200 151/165 116/118 109/109 171/181 149/149 161/161 133/145 156/156 123/123 114/124
752_F_P_y1984 Lake_Saimaa 114/124 104/104 161/161 152/152 194/202 186/188 200/200 137/137 118/118 109/109 171/181 149/149 161/161 145/145 156/156 123/123 114/124
