id pop L_Hg14 L_Hg37 L_M11a L_M2b L_Hg42 L_Hg810 L_Hg63 L_Pv11
SNG_060 St_George_Island 384/394 168/176 103/105 156/160 185/199 234/238 160/160 384/394
SNG_061 St_George_Island 380/382 160/182 105/113 140/146 193/205 230/234 160/184 380/382
SNG_062 St_George_Island 386/394 176/178 87/97 156/158 185/195 236/238 160/160 386/394
SNG_063 St_George_Island 380/380 180/182 85/99 134/156 181/199 230/234 160/160 380/380
SNG_064 St_George_Island 382/396 162/170 85/105 140/160 187/203 232/236 160/174 382/396
SNG_065 St_George_Island 380/392 170/176 91/99 150/156 187/197 230/236 160/160 380/392
SNG_066 St_George_Island 394/396 174/178 91/107 162/166 195/203 228/238 160/160 394/396
SNG_067 St_George_Island 380/384 172/172 99/99 148/158 189/197 238/240 160/160 380/384
SNG_070 St_George_Island 382/392 166/174 99/117 160/160 185/187 238/240 160/184 382/392
SNG_071 St_George_Island 380/394 162/178 97/111 160/162 185/191 232/234 160/160 380/394
SNG_072 St_George_Island 378/380 170/172 95/103 156/162 185/187 230/230 184/186 378/380
SNG_073 St_George_Island 384/394 168/180 91/99 158/164 193/195 234/240 160/160 384/394
SNG_075 St_George_Island 382/391 164/174 103/103 158/160 187/197 230/240 160/160 382/391
SNG_078 St_George_Island 382/388 152/174 103/113 162/162 187/193 228/230 160/160 382/388
SNG_082 St_George_Island 380/382 168/182 91/105 134/164 195/205 232/236 160/180 380/382
SNG_083 St_George_Island 380/394 164/168 95/103 142/158 185/185 234/244 160/160 380/394
SNG_084 St_George_Island 392/394 162/176 91/99 160/166 187/193 236/240 172/184 392/394
SNG_087 St_George_Island 388/394 162/168 91/115 156/158 185/191 230/236 160/160 388/394
SNG_091 St_George_Island 392/392 170/186 93/117 156/158 187/189 NA 160/160 392/392
SNG_093 St_George_Island 380/380 168/178 99/107 140/154 185/189 236/246 160/160 380/380
SNG_094 St_George_Island 380/382 162/182 91/107 154/160 193/197 234/234 160/176 380/382
SNG_095 St_George_Island 380/380 172/182 99/117 142/156 181/191 232/234 160/160 380/380
SNG_096 St_George_Island 394/396 168/180 95/101 160/160 193/199 230/232 160/160 394/396
SNP_001 St_Paul_Island 392/392 172/174 97/99 158/162 181/191 230/230 160/160 392/392
SNP_002 St_Paul_Island 380/380 162/174 111/115 164/164 179/195 234/238 160/160 380/380
SNP_006 St_Paul_Island 380/382 168/172 99/107 158/160 185/201 230/232 160/176 380/382
SNP_008 St_Paul_Island 380/394 172/176 99/115 160/162 191/195 230/234 160/160 380/394
SNP_010 St_Paul_Island NA NA NA NA NA NA 160/160 NA
